CaseId,RosterStatus,PatchTrack,Status,PatchFiles,PatchApplied,Compiled,OrdinaryPlanned,OrdinaryPassed,OrdinaryFailed,AdverseAvailable,AdversePlanned,AdverseControlPassed,AdverseControlFailed,AdverseControlInjectionConfirmed,AdversePassed,AdverseFailed,AdverseInjectionConfirmed,AdverseComparison,CausalEffectivenessEstablished,CausalIneffectivenessWitness,FaultControlOutcome,FaultControlInjectionConfirmed,PatchedFaultOutcome,PatchedFaultInjectionConfirmed,SignalFaultClassification,DynamicUnboundedWaitWitness,FaultSpecificCausalityEstablished,CancellationSignalSuppressionConfirmed,CancellationInterruptInjectionConfirmed,CancellationOutcome,CancellationClassification,CancellationClassificationRaw,DynamicInterruptionFailureWitness,CancellationSpecificCausalityEstablished,NeighborOutcome,NeighborControlOutcome,NeighborComparison,NeighborRegressionWitness,CrossTestPeer,CrossTestReusedJvmOutcome,CrossTestReusedJvmControlOutcome,CrossTestReusedJvmComparison,CrossTestReusedJvmRegressionWitness,CrossTestParallelOutcome,CrossTestParallelControlOutcome,CrossTestParallelComparison,CrossTestParallelRegressionWitness,Ledger,AggregationTrackId,AggregationTrackLabel,OfficialFullWorkflowReproduction,SourceDynamicSummary,SourceDynamicSummarySha256,SourceCaseTable,SourceCaseTableSha256,SourceValidationLedger,SourceValidationLedgerSha256,LedgerValidationProtocolVersion,LedgerCaseSlug,LedgerCaseSha,LedgerCaseTestName,OrdinaryGatePassed,MatchedRecordedDelayEvaluable,SignalLossProbeEligible,SignalLossCausalEligibility,CancellationProbeEligible,SignalLossHangCounted,FaultSpecificSignalLossHangCounted,ConfirmedInterruptionFailureCounted,NeighborRegressionRawRecorded,NeighborRegressionCounted,NeighborRegressionStatus,CompleteOperationalReliable,OperationalFailureReasons,OperationalUnknownReasons,PaperStyle100RunConfirmation,ArtifactProvenance,LocallyEmittedByCurrentArtifact,TailoredProbeVersion,TailoredSignalLossAvailable,TailoredSignalSuppressionConfirmed,TailoredSignalOutcome,TailoredSignalTimedOut,TailoredSignalClassification,TailoredSignalLossProbeEligible,TailoredSignalLossHangCounted,TailoredCancellationAvailable,TailoredCancellationSuppressionConfirmed,TailoredCancellationInterruptConfirmed,TailoredCancellationOutcome,TailoredCancellationTimedOut,TailoredCancellationClassification,TailoredCancellationProbeEligible,TailoredInterruptionFailureCounted,TailoredLedger,TailoredLedgerSha256,TailoredProtocol,TailoredProtocolSha256,StaticReliabilityViolationCounted,CompleteOperationalReliableV2,OperationalFailureReasonsV2,OperationalUnknownReasonsV2
FS019,paper-confirmed-fixed,root-reactor,compile-failed,2,1,0,10,0,0,0,5,0,0,0,0,0,0,,0,0,pass,0,,0,,0,0,0,0,,,,0,0,,,,0,,,,,0,,,,0,<PRIVATE_STUDY_ROOT>/runs/root_reactor_patch_validation_v1/validations/FS019/validation.json,new_root_reactor,Experimental root-reactor patch-goal replay dynamic validation,false,results/root_reactor_patch_validation_v1/patch_dynamic_summary.json,74941124b4bc6ba197532ee3b6c39dde88107e2a054f0c8c1ecacc28a7fc130a,results/root_reactor_patch_validation_v1/patch_dynamic_case_findings.csv,a8e2399d229656382f1b6e1d02e93d473143e188d4ee3f020b187025a5973d9c,runs/root_reactor_patch_validation_v1/validations/FS019/validation.json,1094886dc0037de417c51dbde6e3376328592c9b8440d063c44b6560e43103a3,v6-track-aware-matched-controls-signal-suppression-interruption,apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest#testNonSerializedParameter,false,false,false,false,false,false,false,false,false,false,none-recorded,false,compile_failed;ordinary_gate_failed,matched_recorded_delay_not_evaluable;causal_effectiveness_not_established;signal_loss_probe_not_eligible;cancellation_probe_not_eligible,pending,locally-emitted-current-artifact,true,,,,,,,,,,,,,,,,,,,,,true,false,compile_failed;ordinary_gate_failed;generated_shared_static_mutable_counter;generated_unbounded_condition_wait;generated_busy_spin_yield;generated_missing_interrupt_path;generated_entry_reset_without_exit_cleanup,matched_recorded_delay_not_evaluable;causal_effectiveness_not_established;signal_loss_probe_not_eligible;cancellation_probe_not_eligible
FS020,paper-confirmed-fixed,archived,complete,2,1,1,10,10,0,1,5,0,5,5,0,1,1,patch-not-effective-under-reproduced-recorded-delay,0,1,fail,1,fail,1,patched-process-terminated-within-bound,0,0,1,1,timeout,generated-wait-ignored-interruption-and-hung,generated-wait-ignored-interruption-and-hung,1,1,pass,,patched-pass,0,,,,unavailable-no-peer,0,,,unavailable-no-peer,0,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/validations/FS020/validation.json,base_b2,B2 artifact-location primary dynamic validation,false,results/artifact_location_patch_validation/patch_dynamic_summary.json,664dc65c47758271bc423a0d0848243836b34eaf1a22988f5f34011cc3ac8677,results/artifact_location_patch_validation/patch_dynamic_case_findings.csv,6e4dee347087ea25742142045d45e65598b53c1c2c21b321d53a1d928c6fdf30,runs/artifact_location_patch_generation/validations/FS020/validation.json,568fd000491f8c3965ba7a00e5baf28f530cf68da08e80c0db4a357497080ab9,v6-track-aware-matched-controls-signal-suppression-interruption,apache/httpcore,49247d208bde47f652812493e1d3576e136b8eb8,org.apache.http.pool.TestConnPool#testLeaseTimeout,true,true,true,true,true,false,false,true,false,false,none-recorded,false,causal_ineffectiveness_witness;interruption_failure_witness,,pending,locally-emitted-current-artifact,true,,,,,,,,,,,,,,,,,,,,,true,false,causal_ineffectiveness_witness;interruption_failure_witness;generated_shared_static_mutable_counter;generated_unbounded_condition_wait;generated_busy_spin_yield;generated_missing_interrupt_path;generated_entry_reset_without_exit_cleanup,
FS021,paper-confirmed-fixed,archived,compile-failed,2,1,0,10,0,0,0,5,0,0,0,0,0,0,,0,0,pass,0,,0,,0,0,0,0,,,,0,0,,,,0,,,,,0,,,,0,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/validations/FS021/validation.json,base_b2,B2 artifact-location primary dynamic validation,false,results/artifact_location_patch_validation/patch_dynamic_summary.json,664dc65c47758271bc423a0d0848243836b34eaf1a22988f5f34011cc3ac8677,results/artifact_location_patch_validation/patch_dynamic_case_findings.csv,6e4dee347087ea25742142045d45e65598b53c1c2c21b321d53a1d928c6fdf30,runs/artifact_location_patch_generation/validations/FS021/validation.json,146122882d1d68cd9bca1ef7f04bed92fad2b10051248c8de68d0497b517e268,v6-track-aware-matched-controls-signal-suppression-interruption,apache/incubator-uniffle,6fb2a9a63132ab9abbde2f1f9240f9caf2f5d0f0,org.apache.uniffle.common.rpc.GrpcServerTest#testGrpcExecutorPool,false,false,false,false,false,false,false,false,false,false,none-recorded,false,compile_failed;ordinary_gate_failed,matched_recorded_delay_not_evaluable;causal_effectiveness_not_established;signal_loss_probe_not_eligible;cancellation_probe_not_eligible,pending,locally-emitted-current-artifact,true,,,,,,,,,,,,,,,,,,,,,true,false,compile_failed;ordinary_gate_failed;generated_shared_static_mutable_counter;generated_unbounded_condition_wait;generated_busy_spin_yield;generated_missing_interrupt_path;generated_entry_reset_without_exit_cleanup,matched_recorded_delay_not_evaluable;causal_effectiveness_not_established;signal_loss_probe_not_eligible;cancellation_probe_not_eligible
FS053,paper-confirmed-fixed,archived,compile-failed,2,1,0,10,0,0,0,5,0,0,0,0,0,0,,0,0,fail,1,,0,,0,0,0,0,,,,0,0,,,,0,,,,,0,,,,0,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/validations/FS053/validation.json,base_b2,B2 artifact-location primary dynamic validation,false,results/artifact_location_patch_validation/patch_dynamic_summary.json,664dc65c47758271bc423a0d0848243836b34eaf1a22988f5f34011cc3ac8677,results/artifact_location_patch_validation/patch_dynamic_case_findings.csv,6e4dee347087ea25742142045d45e65598b53c1c2c21b321d53a1d928c6fdf30,runs/artifact_location_patch_generation/validations/FS053/validation.json,921fa0664a09b55e91f9abace073161ddfe180b61baedf749dd3b95654ece5fb,v6-track-aware-matched-controls-signal-suppression-interruption,flaxsearch/luwak,c27ec08c803db6ca6be1b6e8017f45667e603161,uk.co.flax.luwak.matchers.TestPartitionMatcher#testParallelSlowLog,false,false,false,false,false,false,false,false,false,false,none-recorded,false,compile_failed;ordinary_gate_failed,matched_recorded_delay_not_evaluable;causal_effectiveness_not_established;signal_loss_probe_not_eligible;cancellation_probe_not_eligible,pending,locally-emitted-current-artifact,true,,,,,,,,,,,,,,,,,,,,,true,false,compile_failed;ordinary_gate_failed;generated_shared_static_mutable_counter;generated_unbounded_condition_wait;generated_busy_spin_yield;generated_missing_interrupt_path;generated_entry_reset_without_exit_cleanup,matched_recorded_delay_not_evaluable;causal_effectiveness_not_established;signal_loss_probe_not_eligible;cancellation_probe_not_eligible
FS056,paper-confirmed-fixed,archived,complete,2,1,1,10,10,0,1,5,0,5,5,0,1,1,patch-not-effective-under-reproduced-recorded-delay,0,1,fail,0,fail,1,inconclusive-injection-not-confirmed,0,0,0,0,pass,inconclusive-combined-actions-not-confirmed,inconclusive-combined-actions-not-confirmed,0,0,pass,,patched-pass,0,,,,unavailable-no-peer,0,,,unavailable-no-peer,0,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/validations/FS056/validation.json,base_b2,B2 artifact-location primary dynamic validation,false,results/artifact_location_patch_validation/patch_dynamic_summary.json,664dc65c47758271bc423a0d0848243836b34eaf1a22988f5f34011cc3ac8677,results/artifact_location_patch_validation/patch_dynamic_case_findings.csv,6e4dee347087ea25742142045d45e65598b53c1c2c21b321d53a1d928c6fdf30,runs/artifact_location_patch_generation/validations/FS056/validation.json,1dfddeaa8751c65067e0b8c2188f907d18ea03a6ff52d16d10b4d790d31f2fa9,v6-track-aware-matched-controls-signal-suppression-interruption,kagkarlsson/db-scheduler,4a8a28e60640dcd03e8d3bf212f483d35b0b6310,com.github.kagkarlsson.scheduler.compatibility.HsqlCompatibilityTest#test_compatibility,true,true,false,false,false,false,false,false,false,false,none-recorded,false,causal_ineffectiveness_witness,signal_loss_probe_not_eligible;cancellation_probe_not_eligible,pending,locally-emitted-current-artifact,true,,,,,,,,,,,,,,,,,,,,,true,false,causal_ineffectiveness_witness;generated_shared_static_mutable_counter;generated_unbounded_condition_wait;generated_busy_spin_yield;generated_missing_interrupt_path;generated_entry_reset_without_exit_cleanup,signal_loss_probe_not_eligible;cancellation_probe_not_eligible
FS057,paper-confirmed-fixed,archived,complete,2,1,1,10,0,1,1,5,0,0,0,0,0,0,inconclusive-ordinary-gate-failed,0,0,fail,1,timeout,1,generated-wait-hang-witness-with-ordinary-nonpass,1,0,0,0,,skipped-ordinary-gate-failed,unavailable-configuration,0,0,,,skipped-ordinary-gate-failed,0,,,,skipped-ordinary-gate-failed,0,,,skipped-ordinary-gate-failed,0,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/validations/FS057/validation.json,base_b2,B2 artifact-location primary dynamic validation,false,results/artifact_location_patch_validation/patch_dynamic_summary.json,664dc65c47758271bc423a0d0848243836b34eaf1a22988f5f34011cc3ac8677,results/artifact_location_patch_validation/patch_dynamic_case_findings.csv,6e4dee347087ea25742142045d45e65598b53c1c2c21b321d53a1d928c6fdf30,runs/artifact_location_patch_generation/validations/FS057/validation.json,926d3f358e62973dd9ad01b231cbcdecf80ed4be059f19fa346e6516fa3f637e,v6-track-aware-matched-controls-signal-suppression-interruption,nlighten/tomcat_exporter,bc6a2d2,nl.nlighten.prometheus.tomcat.TomcatServletMetricsFilterTest#testServletRequestMetrics,false,false,true,false,false,true,false,false,false,false,none-recorded,false,ordinary_gate_failed;signal_loss_hang_witness,matched_recorded_delay_not_evaluable;causal_effectiveness_not_established;cancellation_probe_not_eligible;neighbor_result_not_confirmed,pending,locally-emitted-current-artifact,true,,,,,,,,,,,,,,,,,,,,,true,false,ordinary_gate_failed;signal_loss_hang_witness;generated_shared_static_mutable_counter;generated_unbounded_condition_wait;generated_busy_spin_yield;generated_missing_interrupt_path;generated_entry_reset_without_exit_cleanup,matched_recorded_delay_not_evaluable;causal_effectiveness_not_established;cancellation_probe_not_eligible;neighbor_result_not_confirmed
FS058,paper-confirmed-fixed,root-reactor,complete,2,1,1,10,10,0,1,5,0,5,5,0,1,1,patch-not-effective-under-reproduced-recorded-delay,0,1,fail,1,timeout,1,fault-induced-generated-wait-hang-witness,1,1,0,0,pass,inconclusive-combined-actions-not-confirmed,inconclusive-combined-actions-not-confirmed,0,0,pass,,patched-pass,0,FS059,pass,,patched-pass,0,not-confirmed-executed,not-confirmed-executed,inconclusive-control-not-confirmed-executed,0,<PRIVATE_STUDY_ROOT>/runs/root_reactor_patch_validation_v1/validations/FS058/validation.json,new_root_reactor,Experimental root-reactor patch-goal replay dynamic validation,false,results/root_reactor_patch_validation_v1/patch_dynamic_summary.json,74941124b4bc6ba197532ee3b6c39dde88107e2a054f0c8c1ecacc28a7fc130a,results/root_reactor_patch_validation_v1/patch_dynamic_case_findings.csv,a8e2399d229656382f1b6e1d02e93d473143e188d4ee3f020b187025a5973d9c,runs/root_reactor_patch_validation_v1/validations/FS058/validation.json,2fdd6ba84ed33dec31da8de82e2572e8127909347da66c840a713773f6ea5ea5,v6-track-aware-matched-controls-signal-suppression-interruption,qos-ch/logback,0f57531977287fd3d8c9046e9f68e281715f3b10,ch.qos.logback.classic.net.SMTPAppender_GreenTest#testCustomBufferSize,true,true,true,true,false,true,true,false,false,false,none-recorded,false,causal_ineffectiveness_witness;signal_loss_hang_witness,cancellation_probe_not_eligible,pending,locally-emitted-current-artifact,true,,,,,,,,,,,,,,,,,,,,,true,false,causal_ineffectiveness_witness;signal_loss_hang_witness;generated_shared_static_mutable_counter;generated_unbounded_condition_wait;generated_busy_spin_yield;generated_missing_interrupt_path;generated_entry_reset_without_exit_cleanup,cancellation_probe_not_eligible
FS059,paper-confirmed-fixed,root-reactor,complete,2,1,1,10,10,0,1,5,0,5,5,5,0,5,patch-effective-under-reproduced-recorded-delay,1,0,fail,1,timeout,1,fault-induced-generated-wait-hang-witness,1,1,0,0,pass,inconclusive-combined-actions-not-confirmed,inconclusive-combined-actions-not-confirmed,0,0,fail,pass,regression-witness,1,FS058,pass,,patched-pass,0,not-confirmed-executed,not-confirmed-executed,inconclusive-control-not-confirmed-executed,0,<PRIVATE_STUDY_ROOT>/runs/root_reactor_patch_validation_v1/validations/FS059/validation.json,new_root_reactor,Experimental root-reactor patch-goal replay dynamic validation,false,results/root_reactor_patch_validation_v1/patch_dynamic_summary.json,74941124b4bc6ba197532ee3b6c39dde88107e2a054f0c8c1ecacc28a7fc130a,results/root_reactor_patch_validation_v1/patch_dynamic_case_findings.csv,a8e2399d229656382f1b6e1d02e93d473143e188d4ee3f020b187025a5973d9c,runs/root_reactor_patch_validation_v1/validations/FS059/validation.json,95fddc14853a798b1c679a7dc9e44aff156a9ec6a05e4277fe7abac597489fcf,v6-track-aware-matched-controls-signal-suppression-interruption,qos-ch/logback,0f57531977287fd3d8c9046e9f68e281715f3b10,ch.qos.logback.classic.net.SMTPAppender_GreenTest#testCustomEvaluator,true,true,true,true,false,true,true,false,true,true,confirmed-v2-frequency-and-v3-worker-crossover,false,signal_loss_hang_witness;neighbor_regression_confirmed,cancellation_probe_not_eligible,pending,locally-emitted-current-artifact,true,,,,,,,,,,,,,,,,,,,,,true,false,signal_loss_hang_witness;neighbor_regression_confirmed;generated_shared_static_mutable_counter;generated_unbounded_condition_wait;generated_busy_spin_yield;generated_missing_interrupt_path;generated_entry_reset_without_exit_cleanup,cancellation_probe_not_eligible
FS051,paper-confirmed-fixed,archived,complete,1,1,1,10,10,0,1,5,0,5,5,5,0,5,patch-effective-under-reproduced-recorded-delay,1,0,,0,,0,unavailable-expected-one-generated-signal-found-0,0,0,0,0,,unavailable-signal-fault-configuration-unavailable,unavailable-signal-fault-configuration-unavailable,0,0,pass,,patched-pass,0,,,,unavailable-no-peer,0,,,unavailable-no-peer,0,<PRIVATE_STUDY_ROOT>/runs/author_repair_extension_v1/validations/FS051/validation.json,author_submitted_pinned_repair,FlakeSync-author submitted repair at pinned base dynamic validation,false,results/author_repair_extension_validation_v1/patch_dynamic_summary.json,be891d1442e6e8d17e4451c805464bccf1de13dfe4caa02daf7c66fa3df68c10,results/author_repair_extension_validation_v1/patch_dynamic_case_findings.csv,5f29027b81736d177f1d637af03db0b7306f56763846de68c1038e2ffa4461cb,runs/author_repair_extension_v1/validations/FS051/validation.json,572860a1590e0897e59878d3a88c9db59c60dad8240762ef416839f2775a28fe,v6-track-aware-matched-controls-signal-suppression-interruption,elasticjob/elastic-job-lite,a7042cf4872d784d619e4560cdfa0f92b0311965,org.apache.shardingsphere.elasticjob.infra.concurrent.ElasticJobExecutorServiceTest#assertCreateExecutorService,true,true,false,unknown,false,false,false,false,false,false,none-recorded,unknown,,signal_loss_probe_not_eligible;cancellation_probe_not_eligible,pending,flakesync-author-submission-pinned-base,false,author-flag-counter-scenarios-v1,true,true,pass,false,passed-within-bound,true,false,true,true,false,pass,false,inconclusive-combined-actions-not-confirmed,false,false,runs/author-flag-counter-scenarios-v1/validations/FS051/validation.json,f1e2d17034cb9c4aa1c8902fed178db257a6a465f29e617453680ded8ddb6851,evidence/author_flag_counter_scenarios_protocol_v1.json,f22fdf7fc7169b1aa71576dd29be9f246b1462b2ab4c19d596f609bee8405490,true,false,submitted_shared_static_mutable_state;submitted_unbounded_condition_wait;submitted_busy_spin_yield;submitted_missing_interrupt_path;submitted_shared_state_without_per_invocation_reset;submitted_plain_nonvolatile_shared_state,tailored_cancellation_interrupt_not_witnessed
FS054,paper-confirmed-fixed,archived,complete,1,1,1,10,10,0,1,5,5,0,0,5,0,0,inconclusive-control-injection-not-confirmed,0,0,,0,,0,unavailable-expected-one-generated-signal-found-0,0,0,0,0,,unavailable-signal-fault-configuration-unavailable,unavailable-signal-fault-configuration-unavailable,0,0,pass,,patched-pass,0,,,,unavailable-no-peer,0,,,unavailable-no-peer,0,<PRIVATE_STUDY_ROOT>/runs/author_repair_extension_v1/validations/FS054/validation.json,author_submitted_pinned_repair,FlakeSync-author submitted repair at pinned base dynamic validation,false,results/author_repair_extension_validation_v1/patch_dynamic_summary.json,be891d1442e6e8d17e4451c805464bccf1de13dfe4caa02daf7c66fa3df68c10,results/author_repair_extension_validation_v1/patch_dynamic_case_findings.csv,5f29027b81736d177f1d637af03db0b7306f56763846de68c1038e2ffa4461cb,runs/author_repair_extension_v1/validations/FS054/validation.json,cda01d5d1125c01438b6ad5f97485ae5bd9d08d195735f8f7a59321b9fcccf6b,v6-track-aware-matched-controls-signal-suppression-interruption,fluent/fluent-logger-java,2e5fdf2dbed59cc5af88442ceae6cbe72f321060,org.fluentd.logger.TestFluentLogger#testInMultiThreading,true,false,false,unknown,false,false,false,false,false,false,none-recorded,unknown,,matched_recorded_delay_not_evaluable;causal_effectiveness_not_established;signal_loss_probe_not_eligible;cancellation_probe_not_eligible,pending,flakesync-author-submission-pinned-base,false,author-flag-counter-scenarios-v2,true,true,timeout,true,dynamic-signal-loss-hang,true,true,true,true,true,timeout,true,dynamic-interruption-failure,true,true,runs/author-flag-counter-scenarios-v2/validations/FS054/validation.json,6e09c133a8155a8e12336f055c47a62424bcdfbb990c1b0310c48b2ce3227e05,evidence/author_flag_counter_scenarios_protocol_v2.json,765816016f5dc57a117bbe725d50004a0dcc7e19ab34eb89445b58f1ebec66f7,true,false,submitted_shared_static_mutable_state;submitted_unbounded_condition_wait;submitted_busy_spin_yield;submitted_missing_interrupt_path;submitted_shared_state_without_per_invocation_reset;tailored_signal_loss_hang_witness;tailored_interruption_failure_witness,matched_recorded_delay_not_evaluable;causal_effectiveness_not_established
